바빠 보여요 (Feat. 정일훈 of 비투비)||멜로디데이 (Melody Day)||R&B||61
잘됐으면 좋겠어||Sinny (시니)||R&B||156
함께 있으면||주하성||R&B||200
Play||이영석||R&B||821
I Know (Baby)||프라우드 (Proud)||R&B||995
Feel So 굳||조인 (ZOIN)||R&B||528
울리지마||제시||R&B||391
아닌척 (Feat. 오유미)||JC지은 &amp; 태혜영 &amp; 다소나||R&B||824
Hello, Goodbye||원지 &amp; 위다솜||R&B||310
Visual (Feat. 정윤)||마일즈더패닉||R&B||417
Darling U||예성 (YESUNG) &amp; 슬기||R&B||592
1,2,3,4 (원,투,쓰리,포)||이성은||R&B||39
Pray||가인 &amp; Jeff Bernat||R&B||378
바보같이||안혜은||R&B||673
한때 그 여자||강민희||R&B||890
퍼플 (Purple) (Feat. Born Kim)||EachONE &amp; Soul One||R&B||358
적셔 (Feat. 조민욱)||20분||R&B||318
Something In Myself||MinD||R&B||473
네게로 (With 김지예)||해요 (HAEYO)||R&B||9
어, 그냥 (Vocal By nov)||백신프로젝트 (Back-Shin Project)||R&B||874
Quickly (Feat. TSUN)||유세윤||R&B||382
널 찾아||Kkal&amp;Maxx (깔앤맥스)||R&B||416
Say Love Me (Vocal. Hyangs)||so||R&B||245
Why Why||전지애||R&B||12
Go Own Way||코다 브릿지 (CODA BRIDGE)||R&B||299
Harbour City||오레오스틱||R&B||379
Wake Me Up (Feat. Young Man)||OVN (오븐)||R&B||140
LET YOU LOVE ME (Feat. evan)||Drummer LINO PARK||R&B||262
Sweet Holiday||Soul sweet &amp; 우일||R&B||654
우리 둘이서||MALVO||R&B||237
그리네||충완||R&B||108
Sweater||스퀘어드 (SQUARED)||R&B||941
불면증||Grizzly||R&B||976
회전목마||Polar.B||R&B||752
no shadow||준케이 (JUN. K)||R&B||623
Meow||차지은||R&B||953
너와 있고싶어||유민상||R&B||636
Type (K) (Feat. 김효은)||아이디 (Eyedi)||R&B||211
아마||비니셔스 (Vinicius)||R&B||246
아무렇지 않게||리멤버러스||R&B||724
Your Favorite Song||김우진||R&B||834
점점||Chawoo (차우)||R&B||684
차가운 밤, 따뜻했던 너.||고나영||R&B||717
허물어||소울라이츠 (Soulights)||R&B||138
자꾸||림지 (Limzy)||R&B||928
Blue Moon||에이나 (AYNA)||R&B||82
4hours (Feat. 이바다)||LAYBACKSOUND (레이백사운드)||R&B||586
사랑이 짧다고 그 슬픔도 짧을까 (Feat. 장혜정)||원써겐 (1sagain)||R&B||525
Gone (Feat. 원업)||클락 &amp; 설아||R&B||112
She's Gone 2||디셈버 (December)||R&B||556
그 순간||슬옹||R&B||372
사랑타령||남수와학스||R&B||483
I'm Sorry||리사||R&B||970
뻔한 이야기||서이 (SEO2)||R&B||163
Lonesome (Feat. Bluewoods)||브라운티거 (Brown Tigger)||R&B||13
사랑은 갑자기||MIXX||R&B||611
You Look So Goody||하승은||R&B||764
Strawberry Cake||이결||R&B||133
Navigation (Feat. 헤이즈)||다비 (DAVII)||R&B||492
Every||민제 (Minje)||R&B||12
인간관계||오선미||R&B||398
어젯밤에||디알로 (Diallo)||R&B||532
Mr.P (Feat. 민화 &amp; R.whale)||민선||R&B||846
어른||최예근 밴드||R&B||778
흑백도시||호재||R&B||865
Overdrink (Feat. NAKED)||Ego (이고)||R&B||563
Want You More (Feat. DION)||traila $ong||R&B||418
TIC TOC||루아민||R&B||533
지나쳐||Ryan||R&B||678
따뜻해져라 이 겨울아 (Feat. 슬지)||Chocolat.D (쇼콜라디)||R&B||304
Lucid Dream||성재원임상목||R&B||154
If You (Feat. Young Lion)||에이트레인 (A.Train)||R&B||508
필요해||태완 (Taewan)||R&B||174
Puzzle||turpee (터피)||R&B||166
이별 같은 거||애즈 원 (As One)||R&B||916
말해줄래||엘른 (Ellen)||R&B||549
Bluescreen (Feat. 이도훈)||범민||R&B||847
빗속길||이동한||R&B||971
Her||폴킴||R&B||305
BeBe||서인국||R&B||930
I NEED YOU||TIKKIT (티킷)||R&B||835
축하해||빅톤 (Bigtone)||R&B||134
내일하고 내일모레 (Feat. Roydo)||Ragoon||R&B||215
